# Generated by tools/wikidata-sweep.js — ids only, screened on Wikidata claims.
# A person gets a card, an institution does not: the sweep requires P31 to be a
# performer type (human, band, duo, comedy troupe, YouTube channel), so
# businesses, universities, nonprofits, labels and TV series never reach here.
# 4493 channels, swept 2026-08-03.
#
# Next:  node tools/add-candidates.js catalog/reach-7.txt

UCWyzhGfTuHaI72gpbfKNA0g  # Atlantide Desrochers
UCAbuXOGIJxc8ji04GYLyKcg  # Q105721822
UCasHAFzSE9La8EkD3CcPVWQ  # Davide Scalenghe
UCA_kRFO1BS8oYLfK7sTOVMw  # Robert Austin
UCe0K1D-suQb65Dztu00ldeA  # Bav Majithia
UCcXAkkuT_bZ5GQIdetCYKzA  # New Urban Frontier
UCGD67QE7pzInlJLiX1CrtQA  # ninjamuffin99
UCUnfI3F7PBcB7uE0-wSX70Q  # Julian Peterson
UC6Hyj5sVbiYhpc_FA14nziw  # Mikhaila Peterson
UCU8StPMPscPwF7vSqInykiA  # Pupinia Stewart
UCcE10s4MFy4eed7q7QkonZg  # First to Eleven
UCc-yKKMDqKSlZQn9DsrLVLg  # Matt Artz
UCJOh5FKisc0hUlEeWFBlD-w  # Mitch Halley
UC4ov1VGR0-pvmpPT7kxbMYg  # Q105843238
UCJvXeurJIBfQzPn_52v8FbQ  # Elyse Dufour
UC-qHdcLwae1iBo8f1PiIvgA  # Classik
UCZUInST_fdxa1qLbZ-OVzRQ  # bnans
UCIjeURQHxjzFcRP6031BSDg  # CaptainPuffy
UCt_6XVmrRDEeOOuSo1iunDg  # LuluLuvely
UCF_LMYJo-Qk_y3t_dz1RoiQ  # Fred Bastien
UCL1b7fYj3eReKGoeLGY-cuQ  # Tiagz
UCd7Df-TzMhiz_iDJM1WMVag  # Joshy
UCkRd7DNfXx8cTazOeSXuv0Q  # Joshy
UCMO0KtWFZKXxjW_t5GTg-Sg  # Joshy
UCoS85d5K3OVW_0yKKOmpTvg  # Q105970355
UCSTMkU_ppYgCCHKnp-ffTrQ  # Nadia Labrie
UCuTfanz0SvSK-Cg7zgZNkGQ  # Lauren Orlando
UC4i4giYQUfHG3Hdl1gsYusg  # Odin Cheesebro
UCp7AQ4oiGIBYPVJVtARWsCQ  # Q106062330
UCA2E063T2eowCXGGKpmYpjA  # Naesketchie
UCnqHv92fRuH_2sEBWfRUt1w  # DJ Anjali
UC0gXT2T6KtmV0IHNNNvruAQ  # Mikey Bolts
UCR6MMHGLoAxHU10F5AF-eiw  # Frank Paul Vignola
UCoRvSCcrmqjoQFbanuYXg3A  # Matt Petitto
UCQ1fIZ-_LxsPA3iMp2aXw3A  # Birds of Bellwoods
UCWto0hTkySXnF2QeofbbuGQ  # Quincy Dash
UCD7YPt-qnoQKO8K0cuh1FxQ  # Christopher Mechell
UCsgiDGH9WYGwmYVsODz-AxQ  # Blaine Gray
UC2Y8xg0yCnP8HGeJBVyzf-Q  # Katherine Emeneth
UC_XFdNPyTtW-4UYrJMQGYsA  # Eboys
UCSShJvAVgrk2cctuC0_zrLQ  # Eboys
UCzdhx03WMZo7rMw7HG7qoRQ  # Emerald Lessley
UClY_H9LpI3H1tDhkgaP2h5Q  # Kezna Dalz
UCCmMveFQjO1bQdzmg1ZfOaQ  # John Eric Rutherford
UCNHs_nknpa32OFvNuJ0_vLQ  # Q106241497
UCpT9kL2Eba91BB9CK6wJ4Pg  # Q106273986
UC7ZWBllAI9hFTGpCT6fYcYQ  # Q106308110
UCqWPMTZQuF874Ey2M1XGN3A  # Megan Bledsoe Ward
UCh34NWPxV5OCKREixadQcuw  # Dan Benton
UCiR_TugQyPc7cerQgiYCjtw  # Allison Pregler
UCsDUx3IrrXQI0CbfKMxTCww  # Gavin Magnus
UCdX6lI1cnIaznkmokdxJQ2Q  # Thought Slime
UCigodSZ_LnUdcQSr3EMB9Aw  # Thought Slime
UCrr7y8rEXb7_RiVniwvzk9w  # Thought Slime
UCWf89mC6RSHoPRD3NkFT5sA  # Jimmie Tolliver
UC_FAlbUHhxLO5QZE_zA-mOg  # Dan Wininger
UCXEtdPqObuH2rXix3_SGelQ  # Kiera Bridget
UCGZ5W7HOSYqkJLwBMDoECjQ  # Milana May
UCBpH9uGYnjck8xHuD3xH1qQ  # David Chen
UCNwPE1qmvOcMvttpoRy1oRg  # Q106312426
UCREyBebd76pGGuzLHWsp_ow  # Q106371813
UCpDmn2FfVYdPIDwRTcf5-OA  # iilluminaughtii
UChBcQ24GbjS5xCXm3K4e8-A  # Jessie Earl
UCJ2yCFYUDiBJajga4tXRdNA  # marinashutup
UC-QDZIHLPWms9nRfYllDkXA  # iilluminaughtii
UCVcn3Oaick8NqrMchz_s3bQ  # iilluminaughtii
UCVF8wEEVylFI38nogvdJl5g  # iilluminaughtii
UCW0gH2G-cMKAEjEkI4YhnPA  # Nerd of the Rings
UCfMocJUFn3HD1dETDEjGnkA  # Niyah Smith
UCjsfxrHsU-zFLqDNknPUoRw  # Niyah Smith
UCD4qMoFPUEzSn4CurFLJkIQ  # Q106420962
UChefcnMqQJaJ3rbZiAKhH2g  # Arshdeep Soni
UCKQ-wNdh0kO5qnpPfXa2hjQ  # Ranboo
UC_fH8phcfceuNhiof2iyLIA  # Johnny Young
UCkiDnHK0CMTk0vMV-2Q19og  # Nasa Lamode
UCWI1AJmkMm_sbTX_Ps8gQAw  # Sydney Serena
UCdKdlJV1DsRHtKMBPqEhJww  # dogdog
UCIXoKTsxY1tJwRk8LTpWk0g  # Ranboo
UCsQky0f-KKYefHOUFTlQqdw  # Ranboo
UC_tCuH9uVrUP-BqN4lSRwyg  # Slimecicle
UCQmzgjEb7X6--w7CSE1erJg  # Slimecicle
UC9Q3suSdhaOYiGgN3L9BJwg  # Purpled
UCCss76UdAZ0MdHQIf99eUdw  # Purpled
UChp2Kv9f2MHM9ww2lcGN4Cw  # Purpled
UCQUg-5kqh-0HfrMd5F5Tekw  # Becky Billock
UCwEokgOXN3ZMaqAqZQhPPWQ  # Q106513306
UCd4NqcSKIaWLzeSjFuZq3DA  # Q106530425
UCGcJ8wAM2Iq5WksIPcQFn5w  # Q106542518
UCJGgP4txIUr_7JTDvOGVQrA  # Q106561610
UCxt2r57cLastdmrReiQJkEg  # Tom Nicholas
