# Generated by tools/wikidata-sweep.js --sitelink en — ids only, screened on Wikidata claims.
# A person gets a card, an institution does not: the sweep requires P31 to be a
# performer type (human, band, duo, comedy troupe, YouTube channel), so
# businesses, universities, nonprofits, labels and TV series never reach here.
# 11343 channels, swept 2026-08-16 (run in two batches: shard 1 alone, then
# shards 2-9 together, since shard 1 alone already returned ~50k raw rows).
#
# Next:  node tools/add-candidates.js catalog/reach-10.txt

UC0patpmwYbhcEUap0bTX3JQ  # Keith Patrick Gill
UC0pdktx9M6EcOsRg5LdLlXg  # Shaun Attwood
UC0prFtEeFBIRwm57wu2lBpQ  # Frank Stephenson
UC0qMdMucHI3YfVyP44h3Sew  # Gavin James
UC0qYnRqDiHDdxJXSw0DlrTg  # Get Scared
UC0q_PBWOkFe3SKllFXf3eWw  # Bastille
UC0q_gYblgTWdeH6zCMTzrDw  # Sonny Fodera
UC0qenPMLEhOpGExtIQehhIQ  # Angel Blue
UC0qlqABNp_FrTSDgy_mA_7A  # The Go-Go's
UC0r2gwrIjboSl3VX92xnlIg  # Tabia Charles
UC0sQemK7pgX5fYy0k1MFsHg  # The White Stripes
UC0t3ejibUQ91s12D4NAaU7A  # Omarion
UC0tIFKS5uijPeJLjH8uAWJg  # Iyaz
UC0txF2R6T6ZPLCLMbGygm9g  # Jon Anderson
UC0uVZd8N7FfIZnPu0y7o95A  # Reason
UC0ukoRAMfFqEL_U19j1mhHw  # FIDLAR
UC0utecPdFw0bdQxk0iPvyfQ  # Devon Werkheiser
UC0uzPBF0jp0CwQV5WZ9MbuQ  # Jim Coykendall
UC0vIEIVmSq1w3V05vFdtk6w  # Popp Hunna
UC0vVHeqTu59ATT9JRv1Zjzg  # Bloc Party
UC0vqZXNe7_O3X6uaYze5Vmw  # Mel Parsons
UC0w4AA42ItXQEb9aZld87-w  # Daniel Negreanu
UC0x1QGzds_kVbAS64fqA6Ow  # Paris Texas
UC0x9JnHVEakoHhO9kGDhiiA  # Joe Janiak
UC0xbzNitcynZOG9A2Rb_wPw  # Oneohtrix Point Never
UC0xtJUctDSc7QncZAHYU26g  # Holly Humberstone
UC0y8P5OjTKLTpnDt62WJzCA  # DJ Fresh
UC0y98-1Rorhqn0oLrfJlTiQ  # Status Quo
UC0yFNhlxloqyPhhGZms6tOQ  # Brandy Schillace
UC0yy6lQr0rxhifq440SMeng  # Kate Ceberano
UC0z4-iSjSOvfX8JvSyO_19Q  # Caeleb Dressel
UC0zHw3DRqxCCG0byWSw4Bcg  # Ned Luke
UC0zpwL3KETxmQPkXYs-grAw  # Larkin Poe
UC1-20IF6K5F798HuOjfvwSA  # Mawaan Rizwan
UC1-9KAdjyIxiuyAac7-S0Bw  # Chandler Moore
UC1-uBB5MG-iBRsHDmk_5OlQ  # Denise Nolan
UC11OPzwn5Wt0-LN3rARunmg  # Mumbo Jumbo
UC11s0NO8BIezjBjNCZAQZUQ  # Classified
UC11wjNaDzDVQ-qAxLQQCeVA  # Rene Villa
UC12bqPm4SJVn3apAKrarNPQ  # Third Day
UC13SncoPbewNDxrIa1yslsg  # Father
UC13v8ym6dRrw2Gw8MDmWcuQ  # Mark DeBarge
UC14ZoXkvyhY6sy2Ly9Vjoxg  # Cyndee Peters
UC14a-X2mcr5cslXskF0lghw  # Luxx Noir London
UC15DXhW0lPK7EPEn8kBJdoQ  # Katherine Heigl
UC15gTXlUQiCGxdSWOt0bIZg  # Q5365949
UC1612vnhy-ZdFmODtpYhuyw  # Glassjaw
UC16I4a47WKVc_QzQwpejUrQ  # The Answer
UC16j6EppP0K85CzYMduNCqw  # Roosh V
UC16vXVRfHGax4QSLXhMoNfQ  # Stephen Chan
UC16zGxZ1weXDUXzRYwtfPqg  # PVRIS
